Headline,Description,Image Link
"
Wimbledon is cancelled
","Founded in 1877, it had previously been called off only during World War I and World War II",https://d30fl32nd2baj9.cloudfront.net/media/2020/04/01/wimbledon-010420-01.jpg/ALTERNATES/w620/wimbledon-010420-01.jpg
"
Messi announces additional Barca pay cut
",Players move so that the club's other employees can earn their full salaries during the coronavirus crisis,https://d30fl32nd2baj9.cloudfront.net/media/2020/03/30/barcelona-300320-01.jpg/ALTERNATES/w140/barcelona-300320-01.jpg
"
Olympics set for July 2021 start
",The postponed Olympic Games will now begin on July 23 next year and run until Aug 8,https://d30fl32nd2baj9.cloudfront.net/media/2020/03/30/tokyo-games-300320-01.jpg/ALTERNATES/w140/tokyo-games-300320-01.jpg
"
Juve players, coach agree pay cut
","Coronavirus impacts football dramatically, infecting players, staffers and forcing matches to be postponed or played behind closed doors",https://d30fl32nd2baj9.cloudfront.net/media/2020/03/29/dybala-juvntus-coronavirus-280320-01.jpg/ALTERNATES/w140/dybala-juvntus-coronavirus-280320-01.jpg
"
Rescheduled Tokyo Games may come before summer 2021
","It faced ‘thousands’ of logistical and financial problems, the head of the global Olympic movement says",https://d30fl32nd2baj9.cloudfront.net/media/2020/03/25/olympic-coronavirus-250320-01.jpg/ALTERNATES/w140/olympic-coronavirus-250320-01.jpg
"
Messi donates $1.08m to battle virus
",Guardiola donates the same amount for the cause,https://d30fl32nd2baj9.cloudfront.net/media/2020/03/25/messi-250320-01.jpg/ALTERNATES/w140/messi-250320-01.jpg
"
Tokyo Olympics delayed to 2021
",Coronavirus pandemic forces the first postponement in the Games' 124-year modern history,https://d30fl32nd2baj9.cloudfront.net/media/2020/03/24/olympic-coronavirus-240320-01.jpg/ALTERNATES/w140/olympic-coronavirus-240320-01.jpg
"
Tokyo 2020 Games delay looms
",US joins calls for postponement,https://d30fl32nd2baj9.cloudfront.net/media/2020/03/24/olympic-tokyo-240320-01.jpg/ALTERNATES/w140/olympic-tokyo-240320-01.jpg
"
Tokyo 2020 Games will bepostponed: IOC member
",Olympic body and Japan promise decision within month,https://d30fl32nd2baj9.cloudfront.net/media/2020/03/24/tokyo-olympics-postpone-230320-01.jpg/ALTERNATES/w140/tokyo-olympics-postpone-230320-01.jpg
"
La Liga postponed indefinitely
","The games will remain postponed until the government considers they can start again ""without creating any health risk""",https://d30fl32nd2baj9.cloudfront.net/media/2020/03/23/la-liga-230320-01.jpg/ALTERNATES/w140/la-liga-230320-01.jpg
